profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,2,1664525,1000000,300000,116766600,2569227.844263685,244.79933333333332,200.0,400.0,500.0,267000,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,437500000,125000000,48128584,0,0,408,653200,0.5594065426243463,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,3,22695477,1000000,300000,117332600,2556834.1620316943,247.732,200.0,400.0,600.0,130100,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,166854704,453125000,125000000,48544392,0,0,431,531400,0.45290055790121414,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,4,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,4,69069,1000000,300000,129747500,2312183.2790612536,273.832,200.0,500.0,600.0,223500,500.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,515625000,140625000,48202888,0,0,376,1022700,0.7882232798319814,0,0,0,0,0,0,0,0,0,0,0,0,0,66,20,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,5,48271,1000000,300000,116999200,2564120.096547669,246.79566666666668,200.0,400.0,500.0,485500,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,406250000,125000000,48217368,0,0,349,726000,0.6205170633645358,0,0,0,0,0,0,0,0,0,0,0,0,0,70,22,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,6,134775813,1000000,300000,113462300,2644050.0501047485,240.62633333333332,200.0,400.0,500.0,201500,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165675008,421875000,125000000,46115536,0,0,367,818700,0.7215612586735859,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,5,1,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,7,16807,1000000,300000,114086100,2629592.9127211818,239.794,200.0,400.0,500.0,189900,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,500000000,125000000,48078096,0,0,306,751000,0.6582747591512025,0,0,0,0,0,0,0,0,0,0,0,0,0,69,22,2,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,8,2147483647,1000000,300000,121898300,2461067.9558287524,255.76733333333334,200.0,400.0,600.0,291300,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,167772160,484375000,125000000,48379048,0,0,373,729600,0.5985317268575525,0,0,0,0,0,0,0,0,0,0,0,0,0,70,21,3,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_MONITOR_ONLY,9,6364136223846793005,1000000,300000,119439200,2511738.1898070313,253.791,200.0,400.0,600.0,678800,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165245296,468750000,125000000,46153448,0,0,409,694700,0.5816348401529816,0,0,0,0,0,0,0,0,0,0,0,0,0,68,21,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,0,1103515245,1000000,300000,106087900,2827843.7031932953,210.845,200.0,400.0,500.0,72200,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,162529280,343750000,125000000,44889112,0,0,191,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,1,214013,1000000,300000,127412100,2354564.440896901,249.003,200.0,400.0,600.0,23200,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,162529280,343750000,140625000,44889216,0,0,225,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,2,1664525,1000000,300000,103136800,2908758.0766515927,204.485,200.0,400.0,500.0,51700,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,162529280,296875000,109375000,44889112,0,0,221,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,3,22695477,1000000,300000,99817400,3005488.021126577,198.33833333333334,200.0,300.0,400.0,34400,300.0,NaN,NaN,300.0,NaN,1000000,20834,0.7499760007679754,162529280,343750000,109375000,44889216,0,0,184,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,4,69069,1000000,300000,100950200,2971762.3144877376,199.79733333333334,200.0,300.0,500.0,52700,300.0,NaN,NaN,300.0,NaN,1000000,20834,0.7499760007679754,162529280,296875000,109375000,44889216,0,0,185,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,5,48271,1000000,300000,108678700,2760430.5167433913,219.55,200.0,400.0,500.0,84600,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,162594832,328125000,125000000,44889112,0,0,188,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,6,134775813,1000000,300000,101059100,2968559.981238701,200.82566666666668,200.0,300.0,500.0,86200,300.0,NaN,NaN,300.0,NaN,1000000,20834,0.7499760007679754,162529280,312500000,93750000,44889112,0,0,190,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,7,16807,1000000,300000,111029400,2701987.04127015,222.12266666666667,200.0,400.0,500.0,92600,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,163577856,343750000,125000000,44889112,0,0,191,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,8,2147483647,1000000,300000,100147900,2995569.5526316576,197.81733333333332,200.0,300.0,400.0,70400,300.0,NaN,NaN,300.0,NaN,1000000,20834,0.7499760007679754,164691984,328125000,109375000,44889216,0,0,192,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,STATIC_BPLUS,9,6364136223846793005,1000000,300000,100935600,2972192.170056947,198.416,200.0,300.0,500.0,57600,300.0,NaN,NaN,300.0,NaN,1000000,20834,0.7499760007679754,162529280,296875000,109375000,44889112,0,0,202,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,0,1103515245,1000000,300000,119595800,2508449.293369834,249.99333333333334,200.0,400.0,600.0,688600,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,164626432,484375000,125000000,46035040,0,0,388,624400,0.5220919129267081,0,0,0,0,0,0,0,0,0,0,0,0,0,66,21,2,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,1,214013,1000000,300000,116198100,2581797.809086379,246.14633333333333,200.0,400.0,500.0,229700,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,165245280,500000000,125000000,46867392,0,0,420,644400,0.5545701693917543,0,0,0,0,0,0,0,0,0,0,0,0,0,67,21,1,0,0,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,2,1664525,1000000,300000,117838000,2545868.056144877,253.14733333333334,200.0,400.0,500.0,3838400,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,164837536,406250000,125000000,46041224,0,0,395,4382200,3.7188343318793597,0,0,0,0,0,0,0,1,0,0,0,0,0,68,21,5,1,1,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,3,22695477,1000000,300000,120950800,2480347.3809185224,255.66633333333334,200.0,400.0,500.0,2945200,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,164757520,531250000,125000000,46435016,0,0,429,3774000,3.120277005195501,0,0,0,0,0,0,0,2,0,0,0,0,0,64,21,7,2,2,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,4,69069,1000000,300000,128076800,2342344.5932440534,270.95933333333335,200.0,400.0,600.0,3640200,400.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,167772160,500000000,140625000,48569352,0,0,454,4512800,3.5235108934639214,0,0,0,0,0,0,0,1,0,0,0,0,0,66,20,4,1,1,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,5,48271,1000000,300000,123225800,2434555.1012856076,256.815,200.0,400.0,500.0,3236700,400.0,NaN,NaN,400.0,NaN,1000000,20834,0.7499760007679754,166723584,515625000,140625000,48196864,0,0,422,4094400,3.322680802234597,0,0,0,0,0,0,0,4,0,0,0,0,0,70,22,7,4,4,0,0,0
YCSB_VALIDATION,YCSB_B,LARS_FULL,6,134775813,1000000,300000,123391700,2431281.8447269956,263.7343333333333,200.0,400.0,600.0,382200,400.0,NaN,NaN,500.0,NaN,1000000,20834,0.7499760007679754,164757520,546875000,140625000,46421776,0,0,418,726300,0.5886133346084056,0,0,0,0,0,0,0,0,0,0,0,0,0,64,21,0,0,0,0,0,0
