profile,workload,variant,repetition,seed,epoch_index,phase,start_operation,end_operation,operations,elapsed_nanos,throughput_ops_s,p50_latency_ns,p95_latency_ns,p99_latency_ns,maintenance_count,maintenance_nanos,controller_nanos,records_moved,leaves_touched,full_rebuilds
YCSB_VALIDATION,YCSB_A,LARS_FULL,0,1103515245,29,YCSB_A,290000,300000,10000,2225000,4494382.02247191,200.0,300.0,400.0,0,0,25700,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,0,YCSB_A,0,10000,10000,8652700,1155708.6227420343,300.0,600.0,2200.0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,1,YCSB_A,10000,20000,10000,5434700,1840027.96842512,300.0,500.0,600.0,0,0,12700,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,2,YCSB_A,20000,30000,10000,4910000,2036659.8778004074,300.0,400.0,600.0,0,0,0,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,3,YCSB_A,30000,40000,10000,5269000,1897893.3383943823,300.0,400.0,600.0,0,0,11300,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,4,YCSB_A,40000,50000,10000,4731100,2113673.3529200396,300.0,400.0,500.0,0,0,11700,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,5,YCSB_A,50000,60000,10000,4748900,2105750.805449683,300.0,400.0,500.0,0,0,16500,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,6,YCSB_A,60000,70000,10000,5353500,1867936.8637340057,300.0,400.0,600.0,0,0,8500,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,7,YCSB_A,70000,80000,10000,3501000,2856326.7637817767,300.0,400.0,500.0,0,0,15300,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,8,YCSB_A,80000,90000,10000,3356000,2979737.7830750896,200.0,400.0,500.0,0,0,18800,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,9,YCSB_A,90000,100000,10000,3182700,3141986.363779181,200.0,400.0,500.0,0,0,15200,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,10,YCSB_A,100000,110000,10000,3401300,2940052.332931526,200.0,400.0,500.0,0,0,9100,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,11,YCSB_A,110000,120000,10000,3173300,3151293.6060252734,200.0,400.0,500.0,0,0,14400,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,12,YCSB_A,120000,130000,10000,3388800,2950897.072710104,200.0,400.0,500.0,0,0,20800,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,13,YCSB_A,130000,140000,10000,4438600,2252962.6458793315,300.0,400.0,500.0,0,0,24800,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,14,YCSB_A,140000,150000,10000,3184300,3140407.6249097134,200.0,400.0,800.0,0,0,12400,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,15,YCSB_A,150000,160000,10000,3071100,3256162.2871283903,200.0,400.0,500.0,0,0,15700,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,16,YCSB_A,160000,170000,10000,3281200,3047665.488236011,200.0,400.0,500.0,0,0,12900,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,17,YCSB_A,170000,180000,10000,3137100,3187657.39058366,200.0,400.0,500.0,0,0,17500,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,18,YCSB_A,180000,190000,10000,2886700,3464163.2313714623,200.0,400.0,400.0,0,0,23500,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,19,YCSB_A,190000,200000,10000,3114100,3211200.6679297388,200.0,400.0,500.0,0,0,52300,0,0,0
YCSB_VALIDATION,YCSB_A,LARS_FULL,1,214013,20,YCSB_A,200000,210000,10000,3396100,2944554.047289538,200.0,400.0,500.0,0,0,12200,0,0,0
