profile,workload,variant,repetition,seed,initial_records,operations,elapsed_nanos,throughput_ops_s,mean_latency_ns,p50_latency_ns,p95_latency_ns,p99_latency_ns,max_latency_ns,search_p95_ns,insert_p95_ns,delete_p95_ns,update_p95_ns,range_p95_ns,final_records,leaf_count,avg_occupancy,peak_heap_bytes,process_cpu_nanos,current_thread_cpu_nanos,current_thread_allocated_bytes,gc_collections,gc_time_millis,jit_compilation_millis,controller_nanos,controller_time_share_pct,maintenance_count,maintenance_nanos,records_moved,leaves_touched,full_rebuilds,commit_count,rollback_count,abstain_count,no_trial_commits,failed_trials_kept,structural_attempts,expected_diagnosis_matches,expected_diagnosis_mismatches,observation_windows,reference_ready_windows,degraded_windows,persistent_triggers,diagnosis_attempts,confident_diagnoses,candidate_selections,trial_starts
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,4,69069,1000000,300000,236338700,1269364.6872052695,606.625,500.0,1500.0,2400.0,1490800,400.0,1600.0,1700.0,400.0,3400.0,1116551,23387,0.7459746600675589,252786832,562500000,234375000,100832536,0,0,503,13708300,5.800277313871998,5,294900,330,16,0,3,2,8,0,0,5,0,0,219,126,65,30,13,5,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,5,48271,1000000,300000,270905500,1107397.2289230009,715.5666666666667,500.0,1500.0,2900.0,16365600,400.0,1800.0,1700.0,500.0,3600.0,1116139,23363,0.7464654314514403,249561088,875000000,281250000,99673984,0,0,657,37234400,13.74442379353686,7,972200,414,22,0,4,3,7,0,0,7,0,0,218,116,70,33,14,8,7,7
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,6,134775813,1000000,300000,308124000,973633.9915099116,826.11,600.0,1900.0,4000.0,4400300,500.0,2200.0,2200.0,600.0,4200.0,1116029,23360,0.7464877193921233,249641104,1046875000,296875000,99782272,0,0,939,19977900,6.483720839661954,5,727300,290,15,0,5,0,17,0,0,5,0,0,221,121,72,33,22,11,5,5
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,7,16807,1000000,300000,328624800,912895.1923287591,862.4803333333333,500.0,1900.0,4400.0,15937100,500.0,2200.0,2100.0,500.0,4400.0,1116229,23369,0.7463339520304677,249561088,984375000,312500000,98197376,0,0,791,43105200,13.116843281456543,4,808800,223,12,0,1,3,10,0,0,4,0,0,218,126,63,23,14,8,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,8,2147483647,1000000,300000,279155100,1074671.3923550027,706.9683333333334,500.0,1700.0,3300.0,6937700,500.0,1900.0,1800.0,500.0,3700.0,1115520,23357,0.7462430962880507,249561088,859375000,281250000,99371696,0,0,783,33414200,11.96976161280951,4,1089900,235,12,0,3,1,3,0,0,4,0,0,219,128,61,23,7,4,4,4
PUBLICATION,LOCAL_HOTSPOT,LARS_FULL,9,6364136223846793005,1000000,300000,284482200,1054547.5252933223,760.429,600.0,1600.0,2700.0,13703300,400.0,1800.0,1800.0,500.0,3500.0,1116488,23362,0.7467308021573495,248512512,984375000,281250000,98312840,0,0,807,35479700,12.47167661104983,7,892400,418,22,0,4,3,6,0,0,7,0,0,222,124,72,29,13,7,7,7
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,0,1103515245,1000000,300000,218567600,1372573.0620640938,568.445,500.0,1400.0,2400.0,343900,400.0,1600.0,1500.0,400.0,3500.0,1116659,23345,0.7473890286999357,242352144,515625000,218750000,91099976,0,0,480,2573200,1.1773016677677752,0,0,0,0,0,0,0,0,0,0,0,0,0,219,130,66,32,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,1,214013,1000000,300000,243761000,1230713.690869335,652.1716666666666,500.0,1700.0,3700.0,286000,400.0,1900.0,1800.0,400.0,4100.0,1115764,23360,0.746310466609589,243269632,625000000,250000000,92547184,0,0,613,2134100,0.8754886958947493,0,0,0,0,0,0,0,0,0,0,0,0,0,222,133,68,27,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,2,1664525,1000000,300000,202076900,1484583.3442615164,530.2496666666667,500.0,1300.0,2000.0,205600,300.0,1500.0,1500.0,300.0,3300.0,1116289,23363,0.7465657503317211,244398224,531250000,218750000,92705200,0,0,436,1751100,0.8665512980454471,0,0,0,0,0,0,0,0,0,0,0,0,0,225,135,81,39,0,0,0,0
PUBLICATION,LOCAL_HOTSPOT,LARS_MONITOR_ONLY,3,22695477,1000000,300000,222721200,1346975.501209584,573.925,500.0,1500.0,2400.0,503500,400.0,1700.0,1700.0,400.0,3100.0,1116254,23373,0.746222938861079,241252496,718750000,234375000,91485024,0,0,652,1851600,0.8313532793465552,0,0,0,0,0,0,0,0,0,0,0,0,0,216,132,64,26,0,0,0,0
