workload,comparator,metric,paired_n,improvement_pct,ci_low,ci_high,p_raw,family,p_holm
READ_HEAVY,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,-32.29166666666667,-44.79166666666667,-18.75,0.001953125,baseline,0.0078125
READ_HEAVY,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,-19.18867298292314,-24.629217770396448,-12.991436505021667,0.00390625,baseline,0.0078125
READ_HEAVY,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-32.29166666666667,-57.142857142857146,-8.787878787878789,0.009765625,baseline,0.029296875
READ_HEAVY,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,4.930809381538892,-11.019237345750465,13.771016636880864,1.0,baseline,1.0
READ_HEAVY,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,6.818181818181818,-11.11111111111111,19.35483870967742,0.44140625,baseline,0.44140625
READ_HEAVY,LARS_NO_DIAGNOSIS,throughput_ops_s,10,-3.757284103555042,-11.680213415489467,4.289184884101234,0.431640625,ablation,0.86328125
READ_HEAVY,LARS_NO_DIAGNOSIS,p99_latency_ns,10,-2.6315789473684212,-24.31077694235589,8.695652173913043,0.6640625,ablation,1.0
READ_HEAVY,LARS_NO_LOCALITY,throughput_ops_s,10,-7.162360971829441,-11.812528429857563,-2.267909098459055,0.009765625,ablation,0.0390625
READ_HEAVY,LARS_NO_LOCALITY,p99_latency_ns,10,-10.555555555555555,-24.12280701754386,0.0,0.015625,ablation,0.0625
READ_HEAVY,LARS_NO_RUNTIME_VALIDATION,throughput_ops_s,10,-3.1554343640725238,-6.6967476846841025,1.2767694657940754,0.232421875,ablation,0.697265625
READ_HEAVY,LARS_NO_RUNTIME_VALIDATION,p99_latency_ns,10,-2.5,-11.11111111111111,9.615384615384615,0.953125,ablation,1.0
READ_HEAVY,LARS_NO_ROLLBACK,throughput_ops_s,10,-0.04492221533005053,-13.399885810199933,3.9221595016858877,0.431640625,ablation,0.86328125
READ_HEAVY,LARS_NO_ROLLBACK,p99_latency_ns,10,2.380952380952381,-22.22222222222222,8.695652173913043,0.5078125,ablation,1.0
SKEW_80_20,STATIC_BPLUS,throughput_ops_s,10,-25.401066703652297,-31.111454407413834,-20.601035033745934,0.001953125,baseline,0.0078125
SKEW_80_20,STATIC_BPLUS,p99_latency_ns,10,-38.421052631578945,-52.38095238095238,-25.0,0.001953125,baseline,0.0078125
SKEW_80_20,PERIODIC_GLOBAL_REBUILD,throughput_ops_s,10,181.64682698157674,143.5172434492103,203.64659965545542,0.001953125,baseline,0.0078125
SKEW_80_20,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,-30.4953560371517,-50.0,-17.669172932330827,0.001953125,baseline,0.0078125
SKEW_80_20,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,-19.822904420178446,-27.087052771654164,-17.946125088771662,0.001953125,baseline,0.0078125
SKEW_80_20,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-32.30994152046784,-44.44444444444444,-20.0,0.001953125,baseline,0.0078125
SKEW_80_20,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,-4.152101396378522,-15.19056605356171,6.742830679103552,0.4921875,baseline,0.4921875
SKEW_80_20,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,-4.761904761904762,-24.053030303030305,10.147849462365592,0.5546875,baseline,0.5546875
SKEW_80_20,LARS_NO_DIAGNOSIS,throughput_ops_s,10,-3.212498531945018,-9.563437175166463,3.9797399604268318,0.4921875,ablation,1.0
SKEW_80_20,LARS_NO_DIAGNOSIS,p99_latency_ns,10,-6.4393939393939394,-18.3982683982684,7.142857142857143,0.353515625,ablation,1.0
SKEW_80_20,LARS_NO_LOCALITY,throughput_ops_s,10,-1.227304628901053,-10.502909223378646,7.021916958813287,0.6953125,ablation,1.0
SKEW_80_20,LARS_NO_LOCALITY,p99_latency_ns,10,-4.166666666666667,-19.960474308300398,8.838709677419356,0.55078125,ablation,1.0
SKEW_80_20,LARS_NO_RUNTIME_VALIDATION,throughput_ops_s,10,-7.26522594600981,-12.211737883512749,9.080263667922297,0.556640625,ablation,1.0
SKEW_80_20,LARS_NO_RUNTIME_VALIDATION,p99_latency_ns,10,-4.3478260869565215,-16.666666666666668,9.544159544159545,0.58203125,ablation,1.0
SKEW_80_20,LARS_NO_ROLLBACK,throughput_ops_s,10,-8.809300964856021,-12.312755543397094,2.4005643459430317,0.10546875,ablation,0.421875
SKEW_80_20,LARS_NO_ROLLBACK,p99_latency_ns,10,-7.54985754985755,-15.036231884057973,4.0,0.29296875,ablation,1.0
STRESS,STATIC_BPLUS,throughput_ops_s,10,-22.20894472266658,-33.359337230629166,-14.142171245190813,0.001953125,baseline,0.0078125
STRESS,STATIC_BPLUS,p99_latency_ns,10,-15.555555555555555,-33.78623188405797,-7.857142857142858,0.00390625,baseline,0.0078125
STRESS,PERIODIC_GLOBAL_REBUILD,throughput_ops_s,10,103.58829489567859,88.0493009982765,139.9799026509657,0.001953125,baseline,0.0078125
STRESS,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,-59.64912280701755,-75.83333333333334,-35.0,0.001953125,baseline,0.0078125
STRESS,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,108.86696427671396,91.24103020833414,128.95630179273834,0.001953125,baseline,0.0078125
STRESS,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-53.94736842105263,-84.21052631578948,-39.5933014354067,0.001953125,baseline,0.0078125
STRESS,LOCAL_COST_ADAPTIVE,throughput_ops_s,10,-5.077517168220178,-19.97927450697176,1.7955297163563082,0.083984375,baseline,0.083984375
STRESS,LOCAL_COST_ADAPTIVE,p99_latency_ns,10,-1.7241379310344827,-17.795566502463057,7.862903225806452,0.453125,baseline,0.453125
STRESS,LARS_NO_DIAGNOSIS,throughput_ops_s,10,2.645530240533347,-6.421396157623179,12.903491660580684,0.4921875,ablation,0.984375
STRESS,LARS_NO_DIAGNOSIS,p99_latency_ns,10,3.0399274047186933,-17.857142857142858,14.285714285714286,1.0,ablation,1.0
STRESS,LARS_NO_LOCALITY,throughput_ops_s,10,8.885570493179323,-5.848895082245143,17.16693456493188,0.322265625,ablation,0.966796875
STRESS,LARS_NO_LOCALITY,p99_latency_ns,10,3.337041156840934,-15.625,16.666666666666668,0.6015625,ablation,1.0
STRESS,LARS_NO_RUNTIME_VALIDATION,throughput_ops_s,10,-10.588081715833669,-20.9455796251944,3.3071802811234385,0.10546875,ablation,0.421875
STRESS,LARS_NO_RUNTIME_VALIDATION,p99_latency_ns,10,-3.5098522167487687,-20.689655172413794,3.3333333333333335,0.3046875,ablation,1.0
STRESS,LARS_NO_ROLLBACK,throughput_ops_s,10,4.070832555441372,-10.709344073785072,13.66978354495169,1.0,ablation,1.0
STRESS,LARS_NO_ROLLBACK,p99_latency_ns,10,1.6666666666666667,-20.689655172413794,24.324324324324323,0.63671875,ablation,1.0
WORKLOAD_SHIFT,STATIC_BPLUS,throughput_ops_s,10,-33.557462832161704,-34.828539277220564,-28.181837855087466,0.001953125,baseline,0.0078125
WORKLOAD_SHIFT,STATIC_BPLUS,p99_latency_ns,10,-24.5,-37.5,-13.333333333333334,0.01953125,baseline,0.0390625
WORKLOAD_SHIFT,PERIODIC_GLOBAL_REBUILD,throughput_ops_s,10,79.59977383363295,71.25767572286,98.95114430089477,0.001953125,baseline,0.0078125
WORKLOAD_SHIFT,PERIODIC_GLOBAL_REBUILD,p99_latency_ns,10,-46.411483253588514,-65.0,-38.095238095238095,0.001953125,baseline,0.0078125
WORKLOAD_SHIFT,THRESHOLD_GLOBAL_REBUILD,throughput_ops_s,10,81.09016240286374,57.55388139387833,89.91367340076803,0.001953125,baseline,0.0078125
WORKLOAD_SHIFT,THRESHOLD_GLOBAL_REBUILD,p99_latency_ns,10,-59.89974937343358,-68.42105263157895,-33.333333333333336,0.00390625,baseline,0.01171875
